persona,visit_id,visit_time,visit_description,place_id,url,title,domain,visit_count,interest,title_name
Theo,100034,2024-07-29 14:32:00,From Bookmark,1000,https://cuisinefrench.example.com/seafood/related,Related: French Seafood Recipes | CuisineFrench,cuisinefrench.example.com,8,Curious Foodie,French Seafood Recipes
Theo,100052,2024-07-31 05:05:00,From Bookmark,1001,https://koreanbites.net/street-seafood,Seafood in Korean Street Food Markets,koreanbites.net,3,Curious Foodie,Korean Street Food
Theo,100035,2024-08-02 05:56:00,Typed in Address Bar,1002,https://italiankitchen.example.com/pasta-di-mare,Pasta di Mare - Italian Kitchen,italiankitchen.example.com,1,Curious Foodie,Italian Seafood Pasta
Theo,100017,2024-08-13 01:47:00,Link Clicked,1003,https://www.google.com/search?client=firefox-b-d&q=spicy+ramen+recipes,spicy ramen recipes - Google Search,www.google.com,6,Search,Spicy Ramen
Theo,100037,2024-08-17 08:29:00,From Bookmark,1003,https://www.google.com/search?client=firefox-b-d&q=spicy+ramen+recipes,spicy ramen recipes - Google Search,www.google.com,5,Search,Spicy Ramen
Theo,99999,2024-08-23 16:25:00,Typed in Address Bar,1001,https://koreanbites.net/street-seafood,Seafood in Korean Street Food Markets,koreanbites.net,9,Curious Foodie,Korean Street Food
Theo,100046,2024-09-23 18:28:00,Link Clicked,1004,https://italiankitchen.example.com/pasta-di-mare/related,Related: Pasta di Mare - Italian Kitchen,italiankitchen.example.com,6,Curious Foodie,Italian Seafood Pasta
Theo,100019,2024-10-01 16:33:00,From Bookmark,1005,https://www.youtube.com/watch?v=seafood_grill/related,Related: Grilled Mediterranean Seafood - YouTube,www.youtube.com,1,Curious Foodie,Mediterranean Seafood
Theo,100018,2024-10-08 16:00:00,Link Clicked,1003,https://www.google.com/search?client=firefox-b-d&q=spicy+ramen+recipes,spicy ramen recipes - Google Search,www.google.com,6,Search,Spicy Ramen
Theo,100039,2024-10-10 12:00:00,Link Clicked,1006,https://hotpotlover.cn/seafood-hotpot,Authentic Chinese Seafood Hotpot | HotpotLover,hotpotlover.cn,1,Curious Foodie,Chinese Seafood Hotpot
Theo,100001,2024-10-13 19:00:00,Typed in Address Bar,1007,https://foodblogger.com/seafood-curry,Seafood Curry Recipe - FoodBlogger,foodblogger.com,6,Curious Foodie,Seafood Curry
Theo,100031,2024-10-16 11:23:00,From Bookmark,1008,https://www.google.com/search?client=firefox-b-d&q=japanese+sushi,japanese sushi - Google Search,www.google.com,8,Search,Japanese Sushi
Theo,100048,2024-10-22 07:59:00,From Bookmark,1005,https://www.youtube.com/watch?v=seafood_grill/related,Related: Grilled Mediterranean Seafood - YouTube,www.youtube.com,5,Curious Foodie,Mediterranean Seafood
