visit_id,visit_time,visit_description,place_id,url,title,rev_host,visit_count,frecency,last_visited,domain,domain_frecency,input_texts,max_input_use_count,created_time,updated_time,total_view_time_in_seconds,typing_time_in_seconds,scrolling_time_in_seconds,referrer_place_id,interest,is_short_term,title_name
100034,2024-07-29 14:32:00,From Bookmark,1000,https://cuisinefrench.example.com/seafood/related,Related: French Seafood Recipes | CuisineFrench,moc.elpmaxe.hcnerfenisiuc.,8,37,2024-07-29 14:32:00,cuisinefrench.example.com,88918,food,6.57304,2024-07-29 04:32:00,2024-07-29 20:32:00,8.786,2.599,1.999,49010.0,Curious Foodie,True,French Seafood Recipes
100052,2024-07-31 05:05:00,From Bookmark,1001,https://koreanbites.net/street-seafood,Seafood in Korean Street Food Markets,ten.setibnaerok.,3,24,2024-07-31 05:05:00,koreanbites.net,106902,food,0.38772,2024-07-30 05:05:00,2024-07-30 16:05:00,9.159,1.339,4.531,,Curious Foodie,True,Korean Street Food
100035,2024-08-02 05:56:00,Typed in Address Bar,1002,https://italiankitchen.example.com/pasta-di-mare,Pasta di Mare - Italian Kitchen,moc.elpmaxe.nehctiknailati.,1,26,2024-08-02 05:56:00,italiankitchen.example.com,23651,food,3.48128,2024-08-01 08:56:00,2024-08-01 15:56:00,1.299,1.744,1.775,,Curious Foodie,True,Italian Seafood Pasta
100017,2024-08-13 01:47:00,Link Clicked,1003,https://www.google.com/search?client=firefox-b-d&q=spicy+ramen+recipes,spicy ramen recipes - Google Search,moc.elgoog.www.,6,44,2024-08-13 01:47:00,www.google.com,101900,food,4.02886,2024-08-12 02:47:00,2024-08-12 16:47:00,6.874,4.409,2.161,,Search,True,Spicy Ramen
100037,2024-08-17 08:29:00,From Bookmark,1003,https://www.google.com/search?client=firefox-b-d&q=spicy+ramen+recipes,spicy ramen recipes - Google Search,moc.elgoog.www.,5,64,2024-08-17 08:29:00,www.google.com,101526,food,3.29123,2024-08-17 00:29:00,2024-08-17 01:29:00,1.974,2.522,3.672,,Search,True,Spicy Ramen
99999,2024-08-23 16:25:00,Typed in Address Bar,1001,https://koreanbites.net/street-seafood,Seafood in Korean Street Food Markets,ten.setibnaerok.,9,70,2024-08-23 16:25:00,koreanbites.net,101100,food,1.38414,2024-08-22 16:25:00,2024-08-22 19:25:00,2.565,1.437,2.258,,Curious Foodie,True,Korean Street Food
100046,2024-09-23 18:28:00,Link Clicked,1004,https://italiankitchen.example.com/pasta-di-mare/related,Related: Pasta di Mare - Italian Kitchen,moc.elpmaxe.nehctiknailati.,6,65,2024-09-23 18:28:00,italiankitchen.example.com,67141,food,8.49307,2024-09-23 04:28:00,2024-09-23 11:28:00,9.834,3.314,0.945,49027.0,Curious Foodie,True,Italian Seafood Pasta
100019,2024-10-01 16:33:00,From Bookmark,1005,https://www.youtube.com/watch?v=seafood_grill/related,Related: Grilled Mediterranean Seafood - YouTube,moc.ebutuoy.www.,1,33,2024-10-01 16:33:00,www.youtube.com,17665,food,3.55214,2024-10-01 15:33:00,2024-10-02 07:33:00,2.06,3.772,4.019,43000.0,Curious Foodie,True,Mediterranean Seafood
100018,2024-10-08 16:00:00,Link Clicked,1003,https://www.google.com/search?client=firefox-b-d&q=spicy+ramen+recipes,spicy ramen recipes - Google Search,moc.elgoog.www.,6,36,2024-10-08 16:00:00,www.google.com,12124,food,5.73417,2024-10-08 05:00:00,2024-10-08 08:00:00,5.181,2.605,2.419,49004.0,Search,True,Spicy Ramen
100039,2024-10-10 12:00:00,Link Clicked,1006,https://hotpotlover.cn/seafood-hotpot,Authentic Chinese Seafood Hotpot | HotpotLover,nc.revoltoptoh.,1,56,2024-10-10 12:00:00,hotpotlover.cn,85541,food,4.62563,2024-10-09 21:00:00,2024-10-10 09:00:00,1.942,0.044,3.553,,Curious Foodie,True,Chinese Seafood Hotpot
